miles,price
140501,6000
93850,8494
95000,7995
87000,9000
100811,7595
300000,4600
187971,4930
250000,4995
155454,4999
171952,4999
180876,5000
175862,5490
167852,5600
195508,5681
187563,5899
156106,5900
144493,7995
168668,6499
92107,10995
100708,9995
153287,7495
119458,7756
131800,7469
65518,9600
121212,7477
170342,6995
123661,7310
141058,7495
117763,7790
141667,7374
148221,7995
168505,6450
140359,6980
47261,16900
65518,9600
61475,11988
68910,12995
69596,8789
108779,8585
242000,3999
